nome_modelo|iteracao|mean_test_rmse|mean_train_rmse
regressao_rede_neural|0|25538.503108630626|533537658.71246403
regressao_rede_neural|1|25775.73409415998|556528217.3935192
regressao_rede_neural|2|24936.7173830691|501062044.5552845
regressao_rede_neural|3|25649.287579018874|528327387.7152395
regressao_rede_neural|4|25227.91453011192|526368363.8043907
regressao_rede_neural|5|25607.951988193665|522319278.9902851
regressao_rede_neural|6|25629.810843314244|517888712.9299078
regressao_rede_neural|7|25460.617271179242|533663960.27161634
regressao_rede_neural|8|25735.404360766275|536558817.67306644
regressao_rede_neural|9|25492.73563746038|539924000.3411973
regressao_rede_neural|10|25531.340085993255|536957815.5163364
regressao_rede_neural|11|25681.284180493632|530963451.3754443
regressao_rede_neural|12|25633.8243266494|547420382.0047511
regressao_rede_neural|13|25435.84024399748|541874692.5792494
regressao_rede_neural|14|25481.199280840396|527217192.32492906
regressao_rede_neural|15|25476.220462085268|530931046.53428155
regressao_rede_neural|16|25641.283770985297|531676434.1938478
regressao_rede_neural|17|25404.380743547503|515712496.0089636
regressao_rede_neural|18|25302.58324065837|531020378.27115726
regressao_rede_neural|19|25855.78340916035|539145413.5191289
regressao_rede_neural|20|25678.72466238158|530201930.89360446
regressao_rede_neural|21|25032.383531980966|512293389.0562313
regressao_rede_neural|22|25655.45107421956|538463491.2617507
regressao_rede_neural|23|25371.924065767394|535915651.8203719
regressao_rede_neural|24|25733.142921993833|541414273.0076374
regressao_rede_neural|25|25577.490568085603|531414369.7370318
regressao_rede_neural|26|25561.924703385557|527717375.52792585
regressao_rede_neural|27|25623.323692456634|537490389.6587179
regressao_rede_neural|28|25114.980158814935|508211258.4323783
regressao_rede_neural|29|25845.572646148936|546984052.2521632
regressao_arvore_de_decisao|0|27128.35318472744|441275160.277695
regressao_arvore_de_decisao|1|27079.64288399974|440457986.7887991
regressao_arvore_de_decisao|2|26963.01670632139|438927330.54128873
regressao_arvore_de_decisao|3|26788.616002309012|440279372.63815033
regressao_arvore_de_decisao|4|27149.304930960487|441085336.3272271
regressao_arvore_de_decisao|5|26893.76171412618|440839802.7698345
regressao_arvore_de_decisao|6|26900.074978947832|440067517.13000405
regressao_arvore_de_decisao|7|26821.40808718602|441863293.2859684
regressao_arvore_de_decisao|8|26821.95906206547|440313114.1863524
regressao_arvore_de_decisao|9|26181.760829815878|441766412.61681
regressao_arvore_de_decisao|10|27375.292333496054|442251719.21661824
regressao_arvore_de_decisao|11|27207.29197020818|444694416.497692
regressao_arvore_de_decisao|12|26626.02272462527|440836288.4153638
regressao_arvore_de_decisao|13|26766.17214830919|439519259.800213
regressao_arvore_de_decisao|14|26897.411763553082|437528606.97717476
regressao_arvore_de_decisao|15|26900.084124924826|438935126.8543849
regressao_arvore_de_decisao|16|27021.123593046555|438182133.6542187
regressao_arvore_de_decisao|17|26904.628674077405|438039651.087457
